-35:17:28|||Counting down to launch
093:46:06|T|LMP|No. That's still in works. I just wanted to comment you might pass on to Steve Grega, we thank you a lot for those rendezvous procedures. They went to making up these little boxes.
093:46:29|C|Kerwin|Okay. We appreciate your appreciating it. We're just having a ball down here working on all kinds of new procedures, Fred. The CPCB is in session, and we expect to have your entry procedures out here by Saturday or Sunday at the very latest.
093:46:50|T|LMP|Saturday or Sunday?
093:46:52|C|Kerwin|At the very latest!
093:47:14|T|LMP|Take your time, Jack.
093:47:36|T|LMP|Why don't you run that other hose back up in the tunnel so Jim can get some air.
093:47:54|T|LMP|Yes. I got it.
093:49:02|P|PAO|This is Apollo Control. For the benefit of newsmen at the Houston news center, there will be a briefing in the main auditorium momentarily regarding the Apollo pressure suit; the briefer will be Mr. Bruce Ferguson of ILC Industries, in the main auditorium to start within the next few moments. At 93 hours, 49 minutes, Ground Elapsed Time, and standing by, this is Apollo Control.
093:51:52|T|LMP|And Joe, how you read now?
093:51:55|C|Kerwin|Satisfactory, Fred. Go ahead.
093:52:01|T|LMP|Okay. Back to the condensate container. I guess the only question I really need answered is will it leak?
093:52:11|C|Kerwin|Is will it leak? Oh, yes. Stand by 1.
093:52:22|T|LMP|And we've checked all the fittings and I know I can hook everything up to our UCDs. So, if it doesn't leak, we can transfer.
093:52:31|C|Kerwin|Okay, Fred. We still don't have a final answer on whether or not it'll leak. if you need it, I'd go ahead and use it; and standing by for your completion of the hose-insertion procedure.
093:52:52|T|LMP|Okay. The hose-insertion procedure in to the second cartridge is complete.
093:52:59|C|Kerwin|Okay. That's complete. The next step is to switch to the primary CO<sub>2</sub> canister and remove the secondary canister and stow it. Over.
093:53:14|T|LMP|Okay. I'm going to have to get off comm here; I'll let Jack get the headset.
093:53:19|C|Kerwin|Okay.
093:53:28|T|CMP|Hey, Joe. I'm on the headset now.
093:54:06|T|LMP|Is that secondary? ... secondary?
093:54:24|T|CMP|Both cartridges are out.
093:54:33|T|CMP|Okay, Joe. Fred has the secondary cartridge out. We're back on primary now.
093:54:39|C|Kerwin|Okay, Jack. The next step is to place the Command Module canisters with the hoses attached in a suitable location to permit the bottom of the canister to be exposed to free airflow and tape them in place. Ideally, well, it doesn't matter. Just - just pick out your own spot.
093:55:05|T|CMP|Okay. I'm going to tell you where they are. They're both situated, as you say, with the bottom of the canister exposed to free air, and one is sitting right by the - the LMP's is sitting right by the EPS panel, and the CDR's is up in the tunnel.
093:55:26|C|Kerwin|Jack, Houston. The comm got real noisy there, and I didn't copy that. Stand by a moment.
093:56:02|T|CMP|Okay, Joe. How do you read now?
093:56:04|C|Kerwin|Okay. That's real good, Jack; go ahead.
093:56:09|T|CMP|Okay. The canisters are situated as you - as you would like with the bottom of the canister exposed to free air.
093:56:17|C|Kerwin|Okay.
093:56:18|T|CMP|The position of the LMP's canister - The LMP's canister is sitting on the EPS panel now, and the CDR's canister is positioned up in the tunnel.
093:56:31|C|Kerwin|Okay. Real fine, Jack. The next step is to physically separate both blue hoses a good distance away from the canister so that we don't short circuit the flow, and tape them in place; and the ideal location for them would be up in the turmel so as to get, some flow into the Command Module. Over.
093:56:57|T|CMP|Both hoses in the - up into the Command Module?
093:57:03|C|Kerwin|Oh, you can use your judgment on that, Jack. We'd like at least one, and the recommendation that I got was to put them both up in the tunnel.
093:57:15|T|CMP|Okay. We have the LMP's blue hose up by the LMP's window and the - Of course, the red hose is separated by some 4 feet. And the - Okay. We're going to - and the other hose - the - has the extension on it - The CDR's blue hose, of course, has the extension on it, and it's blowing way up in the Command Module. And the red hose is about - Oh, it's right at the docking ring where the blue latches are, so there's about 4 or 5 feet difference from there, too. Is this satisfactory?
093:58:03|C|Kerwin|Okay, Jack. That sounds satisfactory. The next steps are - are suit-loop configuration steps, and the first one is to  -
093:58:14|T|CMP|Okay. SUIT DIV  -
093:58:17|C|Kerwin|-  is to place the Suit Diverter valve to the PULL-EGRESS position.
093:58:26|T|CMP|Okay. Suit Diverter valve to PULL-EGRESS.
093:58:31|C|Kerwin|That's affirmative  -
093:58:32|T|CMP|That's done  -
093:58:33|C|Kerwin|Okay. The next step is CABIN GAS RETURN to EGRESS. Over.
093:58:43|T|Unrecognized crewman|...
093:59:13|P|PAO|This is Apollo Control. The briefing on the Apollo suit should begin momentarily in the main auditorium in the Houston News Center. Bruce Ferguson of ILC C industries.
093:59:24|C|Kerwin|Okay, Jack. Did you copy CABIN GAS RETURN to EGRESS. Over.
093:59:32|T|CMP|No, I didn't get that, Joe. CABIN GAS RETURN to EGRESS.
093:59:37|C|Kerwin|That's correct.
093:59:43|T|CMP|Okay. That's done.
093:59:45|C|Kerwin|Okay. Next, SUIT CIRCUIT RELIEF to CLOSE. Over.
093:59:52|T|CMP|SUIT CIRCUIT RELIEF to CLOSE.
093:59:55|C|Kerwin|Roger.
094:00:01|T|CMP|Okay. I got that done.
094:00:03|C|Kerwin|Okay. And the last step is select secondary CO<sub>2</sub> canister. We'll let it flow through the empty hole, and let's see how we do.
094:00:13|T|CMP|Select secondary CO<sub>2</sub> canister.
094:00:16|C|Kerwin|Roger, Jack. That completes that procedure, and the next thing I've got for you is a procedure for going back into the Command Module and powering up the main buses temporarily using the BUS TIE switches. We want to do this for two reasons: first of all, we want it absolutely verified that there are no loads on the main buses, that we've got: everything off and that the buses look good; and the second thing we want to do is to power the bus - the main buses, with the BUS TIE motor switches, and then depower them by pulling the circuit breakers, leaving the Main Bus Tie switches in the On position, just to assure that they'll be there when we need them, whether the batteries get cold or not. Over.
094:00:16|C|Kerwin|Roger, Jack. That completes that procedure, and the next thing I've got for you is a procedure for going back into the Command Module and powering up the main buses temporarily using the BUS TIE switches. We want to do this for two reasons: first of all, we want it absolutely verified that there are no loads on the main buses, that we've got: everything off and that the buses look good; and the second thing we want to do is to power the bus - the main buses, with the BUS TIE motor switches, and then depower them by pulling the circuit breakers, leaving the Main Bus Tie switches in the On position, just to assure that they'll be there when we need them, whether the batteries get cold or not. Over.
094:01:08|T|CMP|Okay. Why ...
094:01:33|T|CMP|Okay, Joe. How you read?
094:01:36|C|Kerwin|Better now, Jack. Satisfactory. Did you copy my rationale for the main bus powerup?
094:01:45|T|CMP|Yes, I did. You want to remove - You want to power up both buses, with the BUS TIE motor switches; first of all, to see that there are no loads on the buses, and second, and then depower the buses by pulling the circuit breakers to insure that the motor switches don't - that the BUS TIES stay armed so that they're there when we need them.
094:02:09|C|Kerwin|That's correct, Jack. Are you ready to copy the procedure?
094:02:15|T|CMP|Okay. Go ahead.
094:02:16|C|Kerwin|Okay. As the first step, I have one change to the basic configuration that we gave you, and it's two more circuit breakers that we want open. On panel 225 - Are you ready to write that down? Over.
094:02:35|T|CMP|Yes. I'm all ready, Joe. Go ahead.
094:02:48|T|CMP|Joe, I'm all ready. Go ahead.
094:02:50|C|Kerwin|Okay. On panel 225, we want the Rendezvous Transponder FLIGHT BUS circuit breaker open, and the S-BAND FM TRANSMITTER/DSE FLIGHT BUS circuit breaker open. Over.
094:03:24|T|CMP|Okay. CB Rendezvous Transponder FLIGHT BUS, open; CB S-BAND TRANSMITTER/DSE FLIGHT BUS open on panel 225.
094:03:35|C|Kerwin|Okay. That's correct, Jack. And now we'll go into the main bus powerup procedure. And the first step there, is on panel 5. We want the BAT CHARGER BAT A CHARGE circuit breaker closed, and the BAT CHARGER BAT B CHARGE circuit breaker closed. Over.
094:04:15|T|CMP|Okay. That's BAT CHARGER BAT A CHARGE, BAT CHARGER BAT B CHARGE, both closed on panel 5.
094:04:25|C|Kerwin|That's affirmative. We need them closed to power the switches. Next on panel 5, we want the EPS SENSOR SIGNAL MAIN A and MAIN B circuit breakers closed. Over.
094:04:52|T|CMP|Okay. Panel 5, CB EPS sensor's signals MAIN A and MAIN B closed.
094:05:00|C|Kerwin|Okay. That's affirmative. We need them closed so that you can read out your volts and amps. Next step, on panel 250, we want circuit breaker BAT A POWER ENTRY and POSTLANDING and BAT B POWER ENTRY and POSTLANDING, closed. Over.
094:05:38|T|CMP|Okay on panel 250, CB BAT A POWER, ENTRY and POSTLANDING, closed; BAT B POWER ENTRY and POSTLANDING, closed.
094:05:50|C|Kerwin|That's affirmative. And at that point, we'd like you to check the BAT bus voltages on both BAT buses to make sure we don't have any shorts. Over.
094:06:09|T|CMP|Okay. Read the BAT bus voltages on BAT BUS A and BAT BUS B.
094:06:13|C|Kerwin|That's affirmative. The next step on panel 275: circuit breaker MAIN A, BAT BUS A, closed, and circuit breaker MAIN B, BAT BUS B, closed. Over.
094:06:44|T|CMP|Okay. On 275, circuit breakers MAIN A, BAT BUS A, closed; MAIN B, BAT BUS B, closed.
094:06:56|C|Kerwin|That's affirmative. The next step on panel 5: we want the Main Bus Tie A/C switch to the BAT A/C position, and verify proper voltage on MAIN BUS A, and read the amps on BAT A to make sure we don't have a short. Over.
094:07:29|T|CMP|Okay. Place Main Bus Tie A/C, on, and read Main Bus A volts and current.
094:07:46|C|Kerwin|Okay, Jack, Houston. We're in bad comm again; let's wait a minute.
094:08:03|T|CMP|Okay. How do you read?
094:08:04|C|Kerwin|That's better, Jack. Go ahead with your readback.
094:08:10|T|CMP|Okay. Place Main Bus Tie A/C, on, read MAIN BUS A current and voltage.
094:08:19|C|Kerwin|Okay. That's affirmative. The next step will be the Main Bus Tie B/C switch to the ON position and read MAIN B voltage and battery B amperage as above. Over.
094:08:49|T|CMP|Okay, Main Bus Tie B/C on; read MAIN B voltage and current.
094:08:55|C|Kerwin|Okay. That is correct. Then to reconfigure from this configuration, Jack, we want you to leave the Main Bus Tie switches in the ON position and pull the circuit breakers out in reverse order that we had you close them. Over; and do you want me to read them up individually?
094:09:17|T|CMP|No, let me see if I've got it here. I go down to panel 275, open CB MAIN A, BAT BUS A and CB MAIN B, BAT BUS B. Then I go down to 250, and pull CB BAT A POWER ENTRY/POSTLANDING and BAT B POWER ENTRY/POSTLANDING and then up on panel 5, pull EPS SENSOR SIGNAL MAIN A, SENSOR SIGNAL MAIN B, BATTERY CHARGER BAT B CHARGE, BATTERY CHARGER BAT A CHARGE. And then close - I don't know whether you want me to close the Rendezvous Radar TRANSPONDER FLIGHT BUS and S-BAND TRANSMITTER/DSE FLIGHT BUS.
094:10:03|C|Kerwin|Okay, Jack. We don't want you to close those last two. Those are changes to your basic configuration, and we want to leave them open for now. Over.
094:10:15|T|CMP|Okay. I'll do that. Was the rest of the readback okay?
094:10:17|C|Kerwin|That's correct. Readback was 100 percent, and we'll wait to hear from you.
094:10:32|T|CMP|Okay, Joe. And just for confirmation, I went through the switch list you gave me. We are in exactly that configuration with one exception, and that is over on panel 382. I have left, the a - H<sub>2</sub>O ACCUMULATOR is in the OFF position so that if we need any more water, we can get it.
094:11:05|C|Kerwin|Okay. Roger, Jack. Copy that. On panel 382, you've left the H<sub>2</sub>O ACCUMULATOR valves in the OFF position, and we concur.
094:11:16|T|CMP|Okay. And there's one other thing that I don't know whether you're aware of. We have no lithium hydroxide canisters in panel two fif - in the canisters now. So when we get ready to power up, you'll have to remind us when you want us to add some.
094:11:38|C|Kerwin|Okay, Jack. We copied that. That's correct, and I'll add that to our basic checklist so that we won't forget it.
094:11:47|T|CMP|Okay. Real fine, Joe, and I'm on my way back into the Command Module.
094:11:51|C|Kerwin|Good deal.
094:11:53|T|CMP|Thank you.
094:12:04|T|LMP|How do you read, Joe?
094:12:19|T|LMP|And, Joe, how do you read Aquarius?
094:12:23|C|Kerwin|Aquarius, Houston. Pretty good. Go ahead.
094:12:29|T|LMP|Okay. I'm back on the line now, but Jack really meant, is he's headed back to the upstairs bedroom.
094:12:39|C|Kerwin|Okay. Roger that, Fred.
094:13:01|C|Kerwin|Aquarius, Houston. Over.
094:13:06|T|LMP|Go ahead.
094:13:07|C|Kerwin|Okay, Fred. We recommend that you push your Master Alarm circuit breaker in so you'll have audio and visual on that, and, also, we medical types are getting to feel left out down here, and we'd like you to give us BIOMED either position, if you're plugged in for it, and we'll see whether it affects the voice or not. Over.
094:13:36|T|LMP|Okay.
094:14:22|T|LMP|Hey, Houston; Aquarius. On DOWN VOICE BACKUP S-band, how do you read me?
094:14:28|C|Kerwin|Aquarius, Houston. Read you now satisfactory.
094:14:36|T|LMP|Okay. And I'm plugged in.
094:14:39|C|Kerwin|Okay. Thank you very much, Fred.
094:14:46|T|LMP|Actually, a good deal of that little power pack heats up and ...
094:14:53|C|Kerwin|Roger that.
094:19:11|T|LMP|Houston, Aquarius.
094:19:14|C|Kerwin|Aquarius, Houston. Go ahead.
094:19:18|T|LMP|Okay, Jack just drifts on back down. And after he put on the 250 BAT A, BAT B breakers, he read BAT bus volts as 32.3 on A, 37.0 on B; he then punched in the 275 breakers, which tied the batteries to the buses, and at that time he read the A bus volts 32.0 on A, zero amps; 37.0 on B, zero amps.
094:19:59|C|Kerwin|Aquarius, Houston. The comm got noisy there, and I want to make sure we get these numbers right, so I'd like to ask you to repeat them, if I may.
094:21:00|T|LMP|Okay. How do you read now, Joe?
094:21:01|C|Kerwin|Okay; probably okay, Fred. Read it nice and slow so we'll be sure to get it. Over.
094:21:10|T|LMP|Okay. Jack pushed in the 250 BAT A, BAT B entry breakers. He read battery bus volts as 32.3 on A, 37.0 on B. Then he pushed in the 275 breakers tying the BATs to the main buses. In this configuration, MAIN A is at 32.0 volts, zero amps; MAIN B is at 37.0 volts, zero amps. So it looks like the buses are okay.
094:21:47|C|Kerwin|Okay, Fred. Copy those numbers and thank you very much. I assume he got them off all right.
094:22:00|T|LMP|That's affirm. We got all the breakers pulled again.
094:22:03|C|Kerwin|Okay. Real fine.
094:32:33|T|LMP|Hey, Houston; Aquarius. How do you read?
094:32:38|C|Kerwin|Aquarius, Houston. Go ahead.
094:32:43|T|LMP|Okay. How did our lith-o configurations appear to be working down there?
094:32:54|C|Kerwin|I'm sorry, Fred, but we got noisy again there.
094:33:02|T|LMP|Okay. Let me know when you want me to try it.
094:33:05|C|Kerwin|Okay. That sounds better already. Go ahead.
094:33:11|T|LMP|Okay. I'd just like to see how's - how's our lith-o cartridge setup option appear to be working down there.
094:33:21|C|Kerwin|We are reading 0.2 on our CO<sub>2</sub> sensor, and we're all delighted. It seems to be working fine.
094:33:31|T|LMP|Boy, that is great.
094:33:40|C|Kerwin|And Fred, Houston. In a little while here, I'm going to have a procedure that I want to read up to you and have you copy down for future use. It's a procedure for powering the Command Module main bus off the LM, and it's something that we feel that's going to come in real handy later on for such things as topping off the Command Module entry batteries, and also possibly for doing some preheating and preliminary powering up of the Command Module before we get rid of the LM. We'll have that for you in probably 10 or 15 minutes. Over.
